iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"06-Jan-2017"
Total Net Assets,"$12,348,359,110"
Shares Outstanding,"270,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MMC","MARSH & MCLENNAN INC","Equity","0.5901","68.68","1,060,631","$72,844,137","72,844,137.08","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.5876","116.43","622,965","$72,531,815","72,531,814.95","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","0.5837","65.95","1,092,473","$72,048,594","72,048,594.35","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
"MMM","3M CO","Equity","0.5819","178.23","402,973","$71,821,878","71,821,877.79","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","0.5715","74.15","951,322","$70,540,526","70,540,526.30","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"CPB","CAMPBELL SOUP","Equity","0.5626","60.70","1,144,024","$69,442,257","69,442,256.80","Consumer Staples","2162845","US1344291091","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","0.5626","58.78","1,181,358","$69,440,223","69,440,223.24","Utilities","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.5563","144.49","475,239","$68,667,283","68,667,283.11","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.5499","40.78","1,664,502","$67,878,392","67,878,391.56","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.5489","136.47","496,468","$67,752,988","67,752,987.96","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.5429","298.16","224,755","$67,012,951","67,012,950.80","Consumer Discretionary","BZ6VT82","US16119P1084","NASDAQ"
"BAX","BAXTER INTERNATIONAL INC","Equity","0.5258","45.52","1,425,686","$64,897,227","64,897,226.72","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"IT","GARTNER INC.","Equity","0.5250","95.68","677,307","$64,804,734","64,804,733.76","Information Technology","2372763","US3666511072","New York Stock Exchange Inc."
"UDR","UDR INC.","Equity","0.5239","36.43","1,775,064","$64,665,582","64,665,581.52","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.5168","118.27","539,358","$63,789,871","63,789,870.66","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.5101","66.30","949,716","$62,966,171","62,966,170.80","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"ANSS","ANSYS INC","Equity","0.5004","93.95","657,443","$61,766,770","61,766,769.85","Information Technology","2045623","US03662Q1058","NASDAQ"
"WMT","WALMART STORES INC","Equity","0.4903","68.26","886,601","$60,519,384","60,519,384.26","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.4894","82.89","728,739","$60,405,176","60,405,175.71","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.4883","71.44","843,647","$60,270,142","60,270,141.68","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
